Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KT711220	PF–Preparazionefinale	COMPASS	14/02/2020		Costantino	Cavallari			MOD COFANO POST (C)	PARABREZZA	MOD LATO SX ANT/POST/PARAFANGO POST	FANALE POST SX (PA)	FANALE POST DX (PA)	MOD COFANO POST	MONTANTE ANT + POST PORTA POST SX				, scritta sx, tappini portellone
KPJ57758	FA-Fatturato	RENEGADE	29/01/2020	04/03/2020	Ederson	Cavallari	X Car			CATADIOTTRO ANT SX									Solo tetto
KPJ46379	IC–INCarrozzeria	RENEGADE	28/02/2020		Ederson	Cavallari		TCA	CALOTTA  DX+SX	3° STOP	CORPO SPECCHIO DX								
KPK11041	IC–INCarrozzeria	RENEGADE	28/02/2020		Ederson	Cavallari		TCA	FRECCIA ANT PARAURTI SX										
KPK19342	IC–INCarrozzeria	RENEGADE	28/02/2020		Ederson	Cavallari		TCA	CALOTTA  DX	3° STOP									
KT644726	IC–INCarrozzeria	COMPASS	28/02/2020		Ederson	Cavallari		TCA	POSTA SX MOD ANT/POST/PARAFANGO POST+ PORTELLONE	CORRIMANO SX									
KPJ84664	Pronta x consegna	RENEGADE	21/01/2020		Ederson	Cavallari	X Car												
KT685124	Pronta x consegna	COMPASS	21/02/2020		Ederson	Cavallari		TCA	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE ANTERIORE DX								Manca logo porta DX
KT691035	FA-Fatturato	COMPASS	13/02/2020	07/05/2020	Juliano	Cavallari			FANALE ANT DX	MOD ANT MOD ANT/POST/PARAFANGO POST	FANALEPOST SX (PA)	MOD COFANO POST	Calandra tra cofano e parabrezza	MONTANTE ANT PORTA ANT SX	MONTANTE POST PORTA ANT SX	MONTANTE ANT PORTA POST SX	MONTANTE POST PORTA POST SX	CORRIMANO SX	Enrico re, manca scritta porta sx
K7602812	IC–INCarrozzeria	GIULIA	27/02/2020		Juliano	Cavallari			COFANO POSTERIORE + LOGO GIULIA	LUNOTTO	VARI COMPONENTI POST, VEDI FOTO	PLAFONIERA CENTRALE							LUNOTTO
KPK46717	IC–INCarrozzeria	RENEGADE	13/03/2020		Juliano	Cavallari			RASAVETRO ANT SX	3° STOP									
KT634682	IC–INCarrozzeria	COMPASS	13/03/2020		juliano	Cavallari			 COFANO POST	MOD LATO DX  ANT/POST/PARAFANGO POST	fanale post DX (PA)	FANALE POST DX (PORTELLONE)	FANALE POST. SX (PA)	PARABREZZA	MOD LATO SX  ANT/POST/PARAFANGO POST				
KT644722	IC–INCarrozzeria	COMPASS	28/02/2020		juliano	Cavallari		TCA	PARABREZZA	MOD lato sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	FARO POST (PA)	CORRIMANO DX						
KT632454	Pronta x consegna	COMPASS	14/02/2020		Juliano	Cavallari			MOD lato sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	Corrimano Sx CROMATO								
KPJ68029	FA-Fatturato	RENEGADE	10/01/2020	28/02/2020	Leo	Cavallari			TERZO STOP										
KPJ67377	IC–INCarrozzeria	RENEGADE	11/03/2020		Rafael	Cavallari			3° STOP	RASAVETRO ANT E POST SX									
KPK20541	IC–INCarrozzeria	RENEGADE	27/02/2020		Rafael	Cavallari			FANALE POST DX										
KT606925	IC–INCarrozzeria	COMPASS	13/03/2020		Rafael	Cavallari			MOD lato Sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE ANT. SX	CORRIMANO SX	MONT PORTA ANT SX						
KPJ68652	FA-Fatturato	RENEGADE	16/01/2020	22/02/2020	Roberto	Cavallari			freccia dx										
KPJ82124	FA-Fatturato	RENEGADE	13/01/2020	27/02/2020	Roberto	Cavallari			3° STOP										
KPJ82957	FA-Fatturato	RENEGADE	09/01/2020	26/02/2020	Roberto	Cavallari			3° STOP										
KPJ59293	FA-Fatturato	RENEGADE	14/01/2020	25/02/2020	Roberto	Cavallari			VETRO CALOTTA  SX	FANALE POST DX									
KT632354	FA-Fatturato	COMPASS	14/02/2020	06/03/2020	Roberto	Cavallari	X Car		PARABREZZA	FANALE ANT. SX 	MOD LATO SX  PARAFANGO POST								
